636A Beihai             China               1975 21290N 109050E 0000 3 00000R MM
636A Beih  197503021 2860 3150 3210 3110 2920 2700 2420 2240 2240 2510 2960 3440
636A Beih  197503022 3830 4020 3890 3570 3180 2750 2240 1780 1420 1280 1370 1650
636A Beih  197503031 2040 2360 2570 2640 2560 2440 2300 2230 2280 2490 2870 3310
636A Beih  197503032 3770 4090 4260 4210 3920 3510 3040 2520 2030 1660 1420 1380
636A Beih  197503041 1520 1780 1990 2150 2270 2300 2220 2170 2250 2410 2690 3090
636A Beih  197503042 3520 3920 4240 4380 4310 4030 3600 3110 2580 2120 1730 1470
636A Beih  197503051 1330 1300 1370 1520 1680 1800 1900 1970 2050 2190 2440 2760
636A Beih  197503052 3180 3610 4020 4290 4360 4270 4030 3630 3160 2700 2280 1900
636A Beih  197503061 1540 1310 1190 1180 1250 1380 1550 1680 1820 1980 2180 2440
636A Beih  197503062 2770 3140 3550 3910 4110 4170 4050 3790 3410 2960 2500 2060
636A Beih  197503071 1650 1270 1010  810  780  860 1010 1260 1490 1650 1790 2000
636A Beih  197503072 2320 2650 3030 3430 3810 4070 4250 4260 4070 3740 3330 2800
636A Beih  197503081 2340 1980 1690 1430 1280 1260 1340 1520 1720 1930 2120 2220
636A Beih  197503082 2400 2670 2990 3320 3700 4030 4270 4370 4320 4120 3760 3320
636A Beih  197503091 2850 2410 2060 1760 1560 1380 1220 1250 1440 1630 1780 1880
636A Beih  197503092 1970 2140 2350 2580 2930 3350 3680 3920 4020 3950 3750 3420
636A Beih  197503101 3020 2530 2110 1770 1520 1390 1340 1400 1530 1690 1830 1910
636A Beih  197503102 2020 2100 2220 2390 2640 2960 3330 3640 3890 4000 3920 3660
636A Beih  197503111 3240 2830 2420 2050 1790 1560 1460 1460 1600 1730 1860 1940
636A Beih  197503112 2010 2000 2000 2090 2260 2530 2890 3260 3610 3840 3930 3840
636A Beih  197503121 3550 3180 2770 2350 2040 1820 1730 1790 1930 2100 2240 2320
636A Beih  197503122 2340 2260 2150 2100 2140 2340 2660 3020 3410 3760 3950 3960
636A Beih  197503131 3770 3490 3110 2680 2320 2050 1940 1960 2100 2260 2400 2480
636A Beih  197503132 2460 2320 2120 1920 1790 1810 2010 2340 2720 3100 3380 3490
636A Beih  197503141 3440 3280 2990 2600 2190 1850 1650 1600 1790 2060 2220 2320
636A Beih  197503142 2280 2100 1830 1580 1290 1060 1030 1170 1470 1920 2310 2560
636A Beih  197503151 2740 2790 2720 2560 2310 2070 1920 1930 2210 2510 2820 3040
636A Beih  197503152 3100 2980 2690 2410 2090 1650 1460 1420 1600 1990 2350 2630
636A Beih  197503161 2850 3020 2930 2760 2570 2400 2190 2190 2430 2750 3070 3380
636A Beih  197503162 3510 3410 3170 2830 2470 2060 1670 1450 1470 1640 2070 2450
636A Beih  197503171 2710 2870 2850 2730 2570 2500 2420 2400 2570 2930 3260 3570
